case,entity,account,side,delta_usd,kind
deposit_to_token_cash_reserve,User,deposit,asset,-100,SYNTHETIC_ACCOUNTING_EXAMPLE
deposit_to_token_cash_reserve,User,token,asset,100,SYNTHETIC_ACCOUNTING_EXAMPLE
deposit_to_token_cash_reserve,Issuer,deposit,asset,100,SYNTHETIC_ACCOUNTING_EXAMPLE
deposit_to_token_cash_reserve,Issuer,token,liability,100,SYNTHETIC_ACCOUNTING_EXAMPLE
deposit_to_token_cash_reserve,Banks,user_deposit,liability,-100,SYNTHETIC_ACCOUNTING_EXAMPLE
deposit_to_token_cash_reserve,Banks,issuer_deposit,liability,100,SYNTHETIC_ACCOUNTING_EXAMPLE
issuer_buys_existing_bill_from_nonbank,Issuer,deposit,asset,-100,SYNTHETIC_ACCOUNTING_EXAMPLE
issuer_buys_existing_bill_from_nonbank,Issuer,bill,asset,100,SYNTHETIC_ACCOUNTING_EXAMPLE
issuer_buys_existing_bill_from_nonbank,Seller,bill,asset,-100,SYNTHETIC_ACCOUNTING_EXAMPLE
issuer_buys_existing_bill_from_nonbank,Seller,deposit,asset,100,SYNTHETIC_ACCOUNTING_EXAMPLE
issuer_buys_existing_bill_from_nonbank,Banks,issuer_deposit,liability,-100,SYNTHETIC_ACCOUNTING_EXAMPLE
issuer_buys_existing_bill_from_nonbank,Banks,seller_deposit,liability,100,SYNTHETIC_ACCOUNTING_EXAMPLE
MMF_to_token_end_state,User,MMF_share,asset,-100,SYNTHETIC_ACCOUNTING_EXAMPLE
MMF_to_token_end_state,User,token,asset,100,SYNTHETIC_ACCOUNTING_EXAMPLE
MMF_to_token_end_state,MMF,bill,asset,-100,SYNTHETIC_ACCOUNTING_EXAMPLE
MMF_to_token_end_state,MMF,shares,liability,-100,SYNTHETIC_ACCOUNTING_EXAMPLE
MMF_to_token_end_state,Issuer,bill,asset,100,SYNTHETIC_ACCOUNTING_EXAMPLE
MMF_to_token_end_state,Issuer,token,liability,100,SYNTHETIC_ACCOUNTING_EXAMPLE
direct_bill_to_token_end_state,User,bill,asset,-100,SYNTHETIC_ACCOUNTING_EXAMPLE
direct_bill_to_token_end_state,User,token,asset,100,SYNTHETIC_ACCOUNTING_EXAMPLE
direct_bill_to_token_end_state,Issuer,bill,asset,100,SYNTHETIC_ACCOUNTING_EXAMPLE
direct_bill_to_token_end_state,Issuer,token,liability,100,SYNTHETIC_ACCOUNTING_EXAMPLE
foreign_user_FX_to_token,Foreign_user,local_asset_USD_equivalent,asset,-100,SYNTHETIC_ACCOUNTING_EXAMPLE
foreign_user_FX_to_token,Foreign_user,token,asset,100,SYNTHETIC_ACCOUNTING_EXAMPLE
foreign_user_FX_to_token,FX_dealer,local_asset_USD_equivalent,asset,100,SYNTHETIC_ACCOUNTING_EXAMPLE
foreign_user_FX_to_token,FX_dealer,USD_deposit,asset,-100,SYNTHETIC_ACCOUNTING_EXAMPLE
foreign_user_FX_to_token,Issuer,USD_deposit,asset,100,SYNTHETIC_ACCOUNTING_EXAMPLE
foreign_user_FX_to_token,Issuer,token,liability,100,SYNTHETIC_ACCOUNTING_EXAMPLE
foreign_user_FX_to_token,Banks,dealer_deposit,liability,-100,SYNTHETIC_ACCOUNTING_EXAMPLE
foreign_user_FX_to_token,Banks,issuer_deposit,liability,100,SYNTHETIC_ACCOUNTING_EXAMPLE
cash_redemption,User,deposit,asset,100,SYNTHETIC_ACCOUNTING_EXAMPLE
cash_redemption,User,token,asset,-100,SYNTHETIC_ACCOUNTING_EXAMPLE
cash_redemption,Issuer,deposit,asset,-100,SYNTHETIC_ACCOUNTING_EXAMPLE
cash_redemption,Issuer,token,liability,-100,SYNTHETIC_ACCOUNTING_EXAMPLE
cash_redemption,Banks,user_deposit,liability,100,SYNTHETIC_ACCOUNTING_EXAMPLE
cash_redemption,Banks,issuer_deposit,liability,-100,SYNTHETIC_ACCOUNTING_EXAMPLE
treasury_buyback_existing_TGA,Treasury,TGA,asset,-100,SYNTHETIC_ACCOUNTING_EXAMPLE
treasury_buyback_existing_TGA,Treasury,debt,liability,-100,SYNTHETIC_ACCOUNTING_EXAMPLE
treasury_buyback_existing_TGA,Fed,TGA,liability,-100,SYNTHETIC_ACCOUNTING_EXAMPLE
treasury_buyback_existing_TGA,Fed,reserves,liability,100,SYNTHETIC_ACCOUNTING_EXAMPLE
treasury_buyback_existing_TGA,Banks,reserves,asset,100,SYNTHETIC_ACCOUNTING_EXAMPLE
treasury_buyback_existing_TGA,Banks,seller_deposit,liability,100,SYNTHETIC_ACCOUNTING_EXAMPLE
treasury_buyback_existing_TGA,Seller,bill,asset,-100,SYNTHETIC_ACCOUNTING_EXAMPLE
treasury_buyback_existing_TGA,Seller,deposit,asset,100,SYNTHETIC_ACCOUNTING_EXAMPLE
treasury_new_issue_before_buyback,Treasury,TGA,asset,100,SYNTHETIC_ACCOUNTING_EXAMPLE
treasury_new_issue_before_buyback,Treasury,debt,liability,100,SYNTHETIC_ACCOUNTING_EXAMPLE
treasury_new_issue_before_buyback,Fed,TGA,liability,100,SYNTHETIC_ACCOUNTING_EXAMPLE
treasury_new_issue_before_buyback,Fed,reserves,liability,-100,SYNTHETIC_ACCOUNTING_EXAMPLE
treasury_new_issue_before_buyback,Banks,reserves,asset,-100,SYNTHETIC_ACCOUNTING_EXAMPLE
treasury_new_issue_before_buyback,Banks,buyer_deposit,liability,-100,SYNTHETIC_ACCOUNTING_EXAMPLE
treasury_new_issue_before_buyback,Buyer,bill,asset,100,SYNTHETIC_ACCOUNTING_EXAMPLE
treasury_new_issue_before_buyback,Buyer,deposit,asset,-100,SYNTHETIC_ACCOUNTING_EXAMPLE
Fed_QE_from_nonbank,Fed,bill,asset,100,SYNTHETIC_ACCOUNTING_EXAMPLE
Fed_QE_from_nonbank,Fed,reserves,liability,100,SYNTHETIC_ACCOUNTING_EXAMPLE
Fed_QE_from_nonbank,Banks,reserves,asset,100,SYNTHETIC_ACCOUNTING_EXAMPLE
Fed_QE_from_nonbank,Banks,seller_deposit,liability,100,SYNTHETIC_ACCOUNTING_EXAMPLE
Fed_QE_from_nonbank,Seller,bill,asset,-100,SYNTHETIC_ACCOUNTING_EXAMPLE
Fed_QE_from_nonbank,Seller,deposit,asset,100,SYNTHETIC_ACCOUNTING_EXAMPLE
