i,g,d,sfa,b0,year,b,kind
0.025,0.025,0.0,0,1,1,1.0,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.025,0.0,0,1,2,1.0,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.025,0.0,0,1,3,1.0,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.025,0.0,0,1,4,1.0,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.025,0.0,0,1,5,1.0,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.025,0.0,0,1,6,1.0,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.025,0.0,0,1,7,1.0,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.025,0.0,0,1,8,1.0,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.025,0.0,0,1,9,1.0,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.025,0.0,0,1,10,1.0,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.025,0.02,0,1,1,1.02,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.025,0.02,0,1,2,1.04,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.025,0.02,0,1,3,1.06,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.025,0.02,0,1,4,1.08,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.025,0.02,0,1,5,1.1,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.025,0.02,0,1,6,1.12,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.025,0.02,0,1,7,1.1400000000000001,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.025,0.02,0,1,8,1.1600000000000001,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.025,0.02,0,1,9,1.1800000000000002,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.025,0.02,0,1,10,1.2000000000000002,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.025,0.04,0,1,1,1.04,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.025,0.04,0,1,2,1.08,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.025,0.04,0,1,3,1.12,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.025,0.04,0,1,4,1.1600000000000001,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.025,0.04,0,1,5,1.2000000000000002,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.025,0.04,0,1,6,1.2400000000000002,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.025,0.04,0,1,7,1.2800000000000002,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.025,0.04,0,1,8,1.3200000000000003,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.025,0.04,0,1,9,1.3600000000000003,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.025,0.04,0,1,10,1.4000000000000004,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.04,0.0,0,1,1,0.9855769230769229,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.04,0.0,0,1,2,0.9713618713017748,SYNTHETIC_SENSITIVITY_NOT_FORECAST
0.025,0.04,0.0,0,1,3,0.9573518443118452,SYNTHETIC_SENSITIVITY_NOT_FORECAST
