refinancing_fraction,year,average_rate,debt_ratio,sfa
0.1,1,0.03900000000000001,1.0190384615384613,0
0.1,2,0.03810000000000001,1.0371767566568044,0
0.1,3,0.03729000000000001,1.0544741133774391,0
0.1,4,0.03656100000000001,1.0709872513813767,0
0.1,5,0.03590490000000001,1.0867701360995192,0
0.1,6,0.03531441000000001,1.1018738290975898,0
0.1,7,0.03478296900000001,1.1163464157086564,0
0.1,8,0.03430467210000002,1.1302329937014925,0
0.1,9,0.033874204890000016,1.1435757093303607,0
0.1,10,0.033486784401000017,1.1564138293797377,0
0.25,1,0.0375,1.0175961538461538,0
0.25,2,0.035625,1.0333154007951182,0
0.25,3,0.03421875,1.0475713097750732,0
0.25,4,0.0331640625,1.0606856059285197,0
0.25,5,0.032373046875,1.072906952662386,0
0.25,6,0.03177978515625,1.0844266395294648,0
0.25,7,0.0313348388671875,1.0953913207138521,0
0.25,8,0.031001129150390626,1.1059131620360763,0
0.25,9,0.030750846862792967,1.116077815697495,0
0.25,10,0.030563135147094724,1.1259506277051268,0
1.0,1,0.03,1.0103846153846154,0
1.0,2,0.03,1.020669378698225,0
1.0,3,0.03,1.030855250056896,0
1.0,4,0.03,1.0409431803448104,0
1.0,5,0.03,1.0509341113030335,0
1.0,6,0.03,1.0608289756174274,0
1.0,7,0.03,1.0706286970057215,0
1.0,8,0.03,1.0803341903037436,0
1.0,9,0.03,1.089946361550823,0
1.0,10,0.03,1.0994661080743728,0
