annual_payment_USD,annual_turnover,saving_collateral_buffer,payment_balance,total_balance,kind
1000000000.0,12,0.0,83333333.33333333,83333333.33333333,SYNTHETIC_SENSITIVITY
1000000000.0,12,500000000.0,83333333.33333333,583333333.3333334,SYNTHETIC_SENSITIVITY
1000000000.0,24,0.0,41666666.666666664,41666666.666666664,SYNTHETIC_SENSITIVITY
1000000000.0,24,500000000.0,41666666.666666664,541666666.6666666,SYNTHETIC_SENSITIVITY
1000000000.0,120,0.0,8333333.333333333,8333333.333333333,SYNTHETIC_SENSITIVITY
1000000000.0,120,500000000.0,8333333.333333333,508333333.3333333,SYNTHETIC_SENSITIVITY
2000000000.0,12,0.0,166666666.66666666,166666666.66666666,SYNTHETIC_SENSITIVITY
2000000000.0,12,500000000.0,166666666.66666666,666666666.6666666,SYNTHETIC_SENSITIVITY
2000000000.0,24,0.0,83333333.33333333,83333333.33333333,SYNTHETIC_SENSITIVITY
2000000000.0,24,500000000.0,83333333.33333333,583333333.3333334,SYNTHETIC_SENSITIVITY
2000000000.0,120,0.0,16666666.666666666,16666666.666666666,SYNTHETIC_SENSITIVITY
2000000000.0,120,500000000.0,16666666.666666666,516666666.6666667,SYNTHETIC_SENSITIVITY
