metric,value,source_id,period
reserve_income,667733000.0,S31,2026Q2
other_revenue,33582000.0,S31,2026Q2
distribution_transaction_other_costs,412470000.0,S31,2026Q2
revenue_reserve_total,701315000.0,S31,2026Q2
after_distribution_before_opex,288845000.0,S31,2026Q2
reserve_fraction,0.9521156684228913,S31,2026Q2
operating_expenses,254486000.0,S31,2026Q2
operating_income,34359000.0,S31,2026Q2
other_income,17947000.0,S31,2026Q2
income_tax,4092000.0,S31,2026Q2
net_income_continuing,48214000.0,S31,2026Q2
